#X Y timestamp framecnt Z flag
121.2 124.2 1654240710.65 1774810 0.0 0
121.2 126.8 1654240713.94 1778993 0.0 0
121.2 129.4 1654240717.23 1783181 0.0 0
121.2 132.0 1654240720.52 1787367 0.0 0
121.2 134.6 1654240723.81 1791555 0.0 0
121.2 137.2 1654240727.1 1795738 0.0 0
121.2 139.8 1654240730.39 1799923 0.0 0
121.2 142.4 1654240733.69 1804107 0.0 0
121.2 145.0 1654240736.98 1808291 0.0 0
168.0 80.0 1654240744.45 1817795 0.0 1
123.8 15.0 1654240751.93 1827300 0.0 0
123.8 17.6 1654240755.22 1831485 0.0 0
123.8 20.2 1654240758.51 1835670 0.0 0
123.8 22.8 1654240761.8 1839857 0.0 0
123.8 25.4 1654240765.09 1844041 0.0 0
123.8 28.0 1654240768.38 1848225 0.0 0
123.8 30.6 1654240771.67 1852408 0.0 0
123.8 33.2 1654240774.96 1856593 0.0 0
123.8 35.8 1654240778.25 1860777 0.0 0
123.8 38.4 1654240781.54 1864961 0.0 0
123.8 41.0 1654240784.83 1869147 0.0 0
123.8 43.6 1654240788.12 1873330 0.0 0
123.8 46.2 1654240791.41 1877512 0.0 0
123.8 48.8 1654240794.71 1881698 0.0 0
123.8 51.4 1654240798.0 1885883 0.0 0
123.8 54.0 1654240801.29 1890068 0.0 0
123.8 56.6 1654240804.58 1894253 0.0 0
123.8 59.2 1654240807.87 1898436 0.0 0
123.8 61.8 1654240811.16 1902619 0.0 0
123.8 64.4 1654240814.45 1906804 0.0 0
123.8 67.0 1654240817.74 1910988 0.0 0
123.8 69.6 1654240821.03 1915173 0.0 0
123.8 72.2 1654240824.32 1919356 0.0 0
123.8 74.8 1654240827.61 1923541 0.0 0
123.8 77.4 1654240830.9 1927725 0.0 0
123.8 80.0 1654240834.19 1931909 0.0 0
123.8 82.6 1654240837.48 1936091 0.0 0
123.8 85.2 1654240840.77 1940275 0.0 0
123.8 87.8 1654240844.06 1944459 0.0 0
123.8 90.4 1654240847.35 1948642 0.0 0
123.8 93.0 1654240850.65 1952830 0.0 0
123.8 95.6 1654240853.94 1957024 0.0 0
123.8 98.2 1654240857.23 1961206 0.0 0
123.8 100.8 1654240860.52 1965390 0.0 0
123.8 103.4 1654240863.81 1969575 0.0 0
123.8 106.0 1654240867.11 1973759 0.0 0
123.8 108.6 1654240870.4 1977944 0.0 0
123.8 111.2 1654240873.69 1982127 0.0 0
123.8 113.8 1654240876.98 1986309 0.0 0
123.8 116.4 1654240880.27 1990494 0.0 0
123.8 119.0 1654240883.56 1994677 0.0 0
123.8 121.6 1654240886.85 1998861 0.0 0
123.8 124.2 1654240890.14 2003044 0.0 0
123.8 126.8 1654240893.43 2007229 0.0 0
123.8 129.4 1654240896.72 2011414 0.0 0
123.8 132.0 1654240900.01 2015599 0.0 0
123.8 134.6 1654240903.3 2019785 0.0 0
123.8 137.2 1654240906.59 2023968 0.0 0
123.8 139.8 1654240909.88 2028153 0.0 0
123.8 142.4 1654240913.17 2032335 0.0 0
123.8 145.0 1654240916.46 2036518 0.0 0
126.4 15.0 1654240928.27 2051531 0.0 0
126.4 17.6 1654240931.56 2055714 0.0 0
126.4 20.2 1654240934.85 2059898 0.0 0
126.4 22.8 1654240938.14 2064083 0.0 0
126.4 25.4 1654240941.43 2068266 0.0 0
126.4 28.0 1654240944.72 2072452 0.0 0
126.4 30.6 1654240948.01 2076636 0.0 0
126.4 33.2 1654240951.3 2080821 0.0 0
126.4 35.8 1654240954.59 2085004 0.0 0
126.4 38.4 1654240957.88 2089188 0.0 0
126.4 41.0 1654240961.17 2093372 0.0 0
126.4 43.6 1654240964.47 2097560 0.0 0
126.4 46.2 1654240967.76 2101743 0.0 0
126.4 48.8 1654240971.05 2105927 0.0 0
126.4 51.4 1654240974.34 2110110 0.0 0
126.4 54.0 1654240977.63 2114295 0.0 0
126.4 56.6 1654240980.92 2118478 0.0 0
126.4 59.2 1654240984.21 2122663 0.0 0
126.4 61.8 1654240987.5 2126846 0.0 0
126.4 64.4 1654240990.79 2131029 0.0 0
126.4 67.0 1654240994.08 2135213 0.0 0
126.4 69.6 1654240997.37 2139399 0.0 0
126.4 72.2 1654241000.66 2143585 0.0 0
126.4 74.8 1654241003.95 2147770 0.0 0
126.4 77.4 1654241007.24 2151954 0.0 0
126.4 80.0 1654241010.53 2156137 0.0 0
126.4 82.6 1654241013.82 2160321 0.0 0
126.4 85.2 1654241017.12 2164508 0.0 0
126.4 87.8 1654241020.41 2168697 0.0 0
126.4 90.4 1654241023.7 2172885 0.0 0
126.4 93.0 1654241027.0 2177070 0.0 0
126.4 95.6 1654241030.29 2181261 0.0 0
126.4 98.2 1654241033.58 2185448 0.0 0
126.4 100.8 1654241036.87 2189632 0.0 0
126.4 103.4 1654241040.17 2193820 0.0 0
126.4 106.0 1654241043.46 2198004 0.0 0
126.4 108.6 1654241046.75 2202194 0.0 0
126.4 111.2 1654241050.04 2206378 0.0 0
126.4 113.8 1654241053.33 2210561 0.0 0
126.4 116.4 1654241056.62 2214745 0.0 0
126.4 119.0 1654241059.92 2218930 0.0 0
126.4 121.6 1654241063.21 2223114 0.0 0
126.4 124.2 1654241066.5 2227297 0.0 0
126.4 126.8 1654241069.79 2231480 0.0 0
126.4 129.4 1654241073.08 2235664 0.0 0
126.4 132.0 1654241076.37 2239848 0.0 0
126.4 134.6 1654241079.66 2244032 0.0 0
126.4 137.2 1654241082.95 2248217 0.0 0
126.4 139.8 1654241086.24 2252400 0.0 0
126.4 142.4 1654241089.53 2256583 0.0 0
126.4 145.0 1654241092.82 2260767 0.0 0
168.0 80.0 1654241100.29 2270269 0.0 1
